Vertex 	Distance from 0(source node)
0 		0
1 		23
2 		25
3 		22
4 		23
5 		23
6 		23
7 		23
8 		17
9 		22
10 		23
11 		23
12 		21
13 		23
14 		22
15 		20
16 		20
17 		20
18 		21
19 		22
20 		21
21 		21
22 		22
23 		24
24 		22
25 		22
26 		25
27 		21
28 		21
29 		21
30 		25
31 		24
32 		22
33 		21
34 		21
35 		21
36 		22
37 		22
38 		21
39 		20
40 		22
41 		25
42 		22
43 		20
44 		27
45 		23
46 		24
47 		21
48 		22
49 		23
50 		20
51 		26
52 		23
53 		21
54 		24
55 		27
56 		21
57 		24
58 		21
59 		23
60 		20
61 		21
62 		22
63 		23
64 		20
65 		15
66 		21
67 		23
68 		21
69 		20
70 		20
71 		20
72 		22
73 		23
74 		22
75 		21
76 		23
77 		21
78 		21
79 		21
80 		21
81 		21
82 		18
83 		23
84 		22
85 		21
86 		27
87 		22
88 		11
89 		22
90 		21
91 		21
92 		24
93 		22
94 		23
95 		24
96 		20
97 		21
98 		11
99 		24
100 		22
101 		26
102 		11
103 		21
104 		22
105 		22
106 		24
107 		24
108 		14
109 		24
110 		20
111 		21
112 		20
113 		23
114 		21
115 		21
116 		20
117 		24
118 		22
119 		20
120 		21
121 		22
122 		25
123 		24
124 		23
125 		21
126 		20
127 		23
128 		24
129 		23
130 		21
131 		21
132 		24
133 		24
134 		22
135 		26
136 		22
137 		25
138 		21
139 		25
140 		21
141 		21
142 		23
143 		23
144 		23
145 		20
146 		22
147 		23
148 		24
149 		21
150 		21
151 		21
152 		23
153 		22
154 		23
155 		22
156 		24
157 		24
158 		23
159 		22
160 		20
161 		21
162 		20
163 		23
164 		21
165 		23
166 		23
167 		24
168 		22
169 		21
170 		23
171 		22
172 		23
173 		20
174 		20
175 		21
176 		21
177 		23
178 		24
179 		23
180 		20
181 		25
182 		23
183 		24
184 		22
185 		20
186 		22
187 		22
188 		25
189 		21
190 		21
191 		21
192 		22
193 		16
194 		21
195 		23
196 		25
197 		23
198 		21
199 		23
200 		20
201 		21
202 		20
203 		24
204 		20
205 		19
206 		25
207 		25
208 		22
209 		23
210 		22
211 		20
212 		23
213 		22
214 		21
215 		18
216 		21
217 		21
218 		22
219 		21
220 		21
221 		21
222 		20
223 		20
224 		22
225 		22
226 		20
227 		24
228 		21
229 		20
230 		23
231 		23
232 		20
233 		23
234 		22
235 		23
236 		26
237 		25
238 		22
239 		22
240 		22
241 		20
242 		23
243 		22
244 		22
245 		21
246 		20
247 		25
248 		21
249 		22
250 		23
251 		25
252 		20
253 		21
254 		24
255 		24
256 		20
257 		21
258 		23
259 		23
260 		23
261 		24
262 		21
263 		24
264 		20
265 		22
266 		22
267 		21
268 		23
269 		21
270 		22
271 		23
272 		22
273 		20
274 		21
275 		22
276 		21
277 		22
278 		21
279 		21
280 		21
281 		20
282 		22
283 		22
284 		21
285 		22
286 		23
287 		23
288 		22
289 		22
290 		22
291 		23
292 		23
293 		19
294 		25
295 		25
296 		21
297 		23
298 		24
299 		24
300 		22
301 		21
302 		20
303 		22
304 		15
305 		21
306 		22
307 		22
308 		25
309 		20
310 		24
311 		21
312 		21
313 		20
314 		21
315 		22
316 		21
317 		23
318 		22
319 		22
320 		20
321 		22
322 		26
323 		22
324 		21
325 		21
326 		17
327 		21
328 		23
329 		13
330 		25
331 		24
332 		10
333 		22
334 		24
335 		23
336 		22
337 		13
338 		24
339 		20
340 		21
341 		22
342 		25
343 		23
344 		22
345 		22
346 		26
347 		21
348 		20
349 		27
350 		24
351 		21
352 		20
353 		23
354 		18
355 		21
356 		22
357 		23
358 		20
359 		23
360 		24
361 		23
362 		16
363 		19
364 		24
365 		21
366 		20
367 		26
368 		24
369 		22
370 		22
371 		24
372 		21
373 		22
374 		22
375 		22
376 		20
377 		22
378 		21
379 		22
380 		23
381 		22
382 		21
383 		21
384 		21
385 		21
386 		22
387 		21
388 		22
389 		21
390 		25
391 		22
392 		22
393 		21
394 		21
395 		23
396 		21
397 		22
398 		22
399 		21
400 		22
401 		24
402 		23
403 		22
404 		21
405 		23
406 		21
407 		23
408 		20
409 		20
410 		21
411 		23
412 		23
413 		21
414 		21
415 		22
416 		22
417 		24
418 		21
419 		21
420 		21
421 		24
422 		21
423 		26
424 		21
425 		20
426 		21
427 		20
428 		14
429 		23
430 		21
431 		23
432 		21
433 		22
434 		22
435 		24
436 		23
437 		22
438 		22
439 		23
440 		20
441 		21
442 		21
443 		23
444 		24
445 		22
446 		21
447 		22
448 		23
449 		22
450 		20
451 		24
452 		24
453 		22
454 		21
455 		23
456 		20
457 		22
458 		22
459 		23
460 		20
461 		27
462 		25
463 		23
464 		21
465 		23
466 		24
467 		23
468 		22
469 		22
470 		14
471 		14
472 		22
473 		24
474 		25
475 		23
476 		21
477 		22
478 		21
479 		17
480 		21
481 		27
482 		22
483 		24
484 		22
485 		22
486 		20
487 		22
488 		20
489 		23
490 		22
491 		23
492 		21
493 		21
494 		20
495 		21
496 		20
497 		21
498 		21
499 		22
500 		21
501 		20
502 		20
503 		24
504 		22
505 		20
506 		22
507 		21
508 		25
509 		20
