Vertex 	Distance from 0(source node)
0 		0
1 		21
2 		22
3 		22
4 		24
5 		22
6 		22
7 		20
8 		23
9 		20
10 		23
11 		21
12 		23
13 		25
14 		24
15 		21
16 		12
17 		22
18 		25
19 		23
20 		21
21 		20
22 		21
23 		20
24 		20
25 		22
26 		20
27 		23
28 		20
29 		21
30 		23
31 		21
32 		21
33 		22
34 		23
35 		20
36 		21
37 		25
38 		21
39 		20
40 		23
41 		24
42 		23
43 		23
44 		22
45 		21
46 		18
47 		20
48 		22
49 		23
50 		23
51 		23
52 		21
53 		22
54 		18
55 		20
56 		20
57 		22
58 		22
59 		22
60 		23
61 		20
62 		21
63 		21
64 		21
65 		23
66 		24
67 		22
68 		24
69 		22
70 		22
71 		26
72 		21
73 		20
74 		21
75 		21
76 		24
77 		23
78 		21
79 		20
80 		25
81 		22
82 		23
83 		21
84 		22
85 		23
86 		19
87 		25
88 		20
89 		25
90 		22
91 		20
92 		14
93 		20
94 		21
95 		22
96 		23
97 		21
98 		21
99 		24
100 		22
101 		22
102 		21
103 		23
104 		21
105 		21
106 		22
107 		22
108 		23
109 		20
110 		21
111 		23
112 		21
113 		21
114 		20
115 		20
116 		23
117 		26
118 		23
119 		21
120 		20
121 		22
122 		24
123 		21
124 		15
125 		23
126 		24
127 		21
128 		24
129 		20
130 		21
131 		15
132 		21
133 		21
134 		21
135 		19
136 		22
137 		21
138 		22
139 		21
140 		21
141 		22
142 		22
143 		20
144 		18
145 		21
146 		22
147 		17
148 		22
149 		22
150 		21
151 		23
152 		23
153 		21
154 		11
155 		24
156 		23
157 		21
158 		22
159 		24
160 		13
161 		21
162 		21
163 		21
164 		22
165 		20
166 		21
167 		25
168 		22
169 		22
170 		25
171 		22
172 		21
173 		25
174 		22
175 		22
176 		17
177 		22
178 		21
179 		21
180 		25
181 		13
182 		22
183 		20
184 		21
185 		20
186 		21
187 		21
188 		23
189 		24
190 		25
191 		22
192 		26
193 		24
194 		20
195 		15
196 		22
197 		22
198 		22
199 		21
200 		21
201 		23
202 		23
203 		20
204 		21
205 		22
206 		22
207 		24
208 		20
209 		22
210 		21
211 		24
212 		21
213 		20
214 		24
215 		21
216 		21
217 		20
218 		21
219 		20
220 		22
221 		16
222 		20
223 		20
224 		21
225 		24
226 		24
227 		20
228 		20
229 		21
230 		21
231 		21
232 		21
233 		21
234 		21
235 		22
236 		25
237 		22
238 		13
239 		20
240 		22
241 		21
242 		20
243 		24
244 		21
245 		24
246 		23
247 		22
248 		22
249 		20
250 		21
251 		11
252 		22
253 		21
254 		21
255 		21
256 		23
257 		21
258 		22
259 		22
260 		21
261 		24
262 		20
263 		22
264 		21
265 		24
266 		22
267 		25
268 		22
269 		20
270 		21
271 		22
272 		21
273 		26
274 		21
275 		12
276 		22
277 		12
278 		21
279 		21
280 		24
281 		23
282 		22
283 		21
284 		20
285 		22
286 		22
287 		22
288 		22
289 		22
290 		22
291 		23
292 		21
293 		23
294 		23
295 		23
296 		20
297 		21
298 		22
299 		21
300 		23
301 		25
302 		20
303 		23
304 		21
305 		22
306 		22
307 		23
308 		20
309 		23
310 		23
311 		24
312 		22
313 		20
314 		22
315 		22
316 		21
317 		20
318 		22
319 		21
320 		23
321 		21
322 		21
323 		20
324 		10
325 		22
326 		20
327 		21
328 		20
329 		23
330 		22
331 		26
332 		23
333 		16
334 		22
335 		22
336 		20
337 		22
338 		21
339 		25
340 		21
341 		22
342 		22
343 		21
344 		21
345 		22
346 		20
347 		20
348 		24
349 		21
350 		21
351 		20
352 		26
353 		22
354 		21
355 		16
356 		20
357 		23
358 		22
359 		22
360 		21
361 		20
362 		21
363 		23
364 		23
365 		15
366 		24
367 		23
368 		23
369 		21
370 		20
371 		22
372 		24
373 		17
374 		22
375 		20
376 		22
377 		22
378 		22
379 		22
380 		22
381 		17
382 		19
383 		23
384 		24
385 		21
386 		25
387 		22
388 		22
389 		21
390 		22
391 		22
392 		24
393 		21
394 		24
395 		22
396 		27
397 		10
398 		23
399 		22
400 		21
401 		22
402 		21
403 		22
404 		21
405 		21
406 		22
407 		25
408 		23
409 		23
410 		21
411 		21
412 		20
413 		23
414 		20
415 		17
416 		23
417 		22
418 		21
419 		23
420 		23
421 		24
422 		23
423 		23
424 		22
425 		22
426 		24
427 		20
428 		21
429 		21
430 		21
431 		21
432 		20
433 		23
434 		20
435 		24
436 		23
437 		21
438 		18
439 		22
440 		23
441 		24
442 		20
443 		22
444 		22
445 		23
446 		21
447 		22
448 		22
449 		22
450 		21
451 		23
452 		20
453 		22
454 		22
455 		21
456 		22
457 		20
458 		23
459 		22
460 		24
461 		20
462 		16
463 		22
464 		24
465 		23
466 		22
467 		21
468 		21
469 		22
470 		21
471 		21
472 		21
473 		20
474 		21
475 		23
476 		25
477 		21
478 		22
479 		21
480 		22
481 		22
482 		24
483 		22
484 		20
485 		21
486 		21
487 		21
488 		22
489 		22
490 		22
491 		23
492 		21
493 		20
494 		14
495 		23
496 		22
497 		24
498 		21
499 		20
500 		24
501 		20
502 		21
503 		20
504 		22
505 		20
506 		21
507 		26
508 		24
509 		22
510 		23
511 		23
512 		20
513 		22
514 		22
515 		20
516 		15
517 		21
518 		21
519 		21
520 		22
521 		21
522 		20
523 		20
524 		24
525 		23
526 		22
527 		21
528 		22
529 		23
530 		21
531 		22
532 		23
533 		23
534 		23
535 		20
536 		21
537 		21
538 		22
539 		21
540 		21
541 		21
542 		20
543 		21
544 		21
545 		21
546 		23
547 		22
548 		20
549 		22
550 		24
551 		20
552 		21
553 		23
554 		23
555 		20
556 		23
557 		21
558 		24
559 		22
560 		21
561 		22
562 		21
563 		21
564 		20
565 		23
566 		22
567 		20
568 		22
569 		15
570 		23
571 		12
572 		23
573 		24
574 		24
575 		20
576 		21
577 		21
578 		21
579 		21
580 		23
581 		23
582 		20
583 		20
584 		20
585 		22
586 		21
587 		24
588 		21
589 		20
590 		22
591 		21
592 		22
593 		23
594 		23
595 		23
596 		20
597 		20
598 		21
599 		13
600 		21
601 		22
602 		22
603 		23
604 		20
605 		15
606 		23
607 		21
608 		22
609 		22
610 		21
611 		22
612 		24
613 		22
614 		24
615 		22
616 		21
617 		20
618 		22
619 		21
620 		20
621 		25
622 		20
623 		23
624 		23
625 		20
626 		25
627 		21
628 		23
629 		22
630 		21
631 		22
632 		25
633 		21
634 		22
635 		23
636 		22
637 		22
638 		23
639 		23
640 		24
641 		22
642 		20
643 		21
644 		21
645 		21
646 		22
647 		21
648 		22
649 		21
650 		21
651 		21
652 		23
653 		12
654 		20
655 		22
656 		24
657 		20
658 		22
659 		21
660 		26
661 		20
662 		21
663 		21
664 		20
665 		22
666 		20
667 		24
668 		23
669 		21
670 		21
671 		21
672 		25
673 		22
674 		22
675 		23
676 		22
677 		21
678 		24
679 		22
680 		22
681 		22
682 		20
683 		21
684 		21
685 		24
686 		20
687 		22
688 		21
689 		23
690 		20
691 		20
692 		24
693 		22
694 		23
695 		21
696 		23
697 		20
698 		21
699 		20
700 		21
701 		23
702 		23
703 		21
704 		20
705 		21
706 		21
707 		21
708 		21
709 		20
710 		14
711 		23
712 		22
713 		21
714 		24
715 		23
716 		23
717 		22
718 		21
719 		22
720 		20
721 		21
722 		22
723 		24
724 		24
725 		20
726 		21
727 		23
728 		20
729 		19
730 		22
731 		21
732 		21
733 		21
734 		23
735 		24
736 		21
737 		22
738 		20
739 		20
740 		21
741 		22
742 		22
743 		21
744 		21
745 		20
746 		20
747 		20
748 		21
749 		22
750 		22
751 		25
752 		22
753 		21
754 		22
755 		23
756 		21
757 		22
758 		26
759 		20
760 		23
761 		21
762 		22
763 		22
764 		21
765 		20
766 		24
767 		23
768 		22
769 		24
770 		22
771 		23
772 		21
773 		26
774 		22
775 		21
776 		22
777 		22
778 		22
779 		23
780 		14
781 		20
782 		22
783 		21
784 		22
785 		22
786 		13
787 		22
788 		11
789 		23
790 		10
791 		21
792 		25
793 		22
794 		21
795 		20
796 		21
797 		20
798 		23
799 		21
800 		20
801 		21
802 		22
803 		20
804 		22
805 		24
806 		22
807 		22
808 		21
809 		20
810 		20
811 		22
812 		22
813 		22
814 		21
815 		24
816 		21
817 		21
818 		20
819 		23
820 		22
821 		21
822 		21
823 		24
824 		21
825 		20
826 		20
827 		22
828 		20
829 		21
830 		21
831 		23
832 		21
833 		23
834 		22
835 		21
836 		21
837 		20
838 		22
839 		21
840 		22
841 		11
842 		20
843 		20
844 		23
845 		20
846 		21
847 		24
848 		20
849 		23
850 		20
851 		22
852 		22
853 		21
854 		20
855 		23
856 		16
857 		22
858 		18
859 		14
860 		20
861 		21
862 		20
863 		22
864 		22
865 		24
866 		22
867 		23
868 		22
869 		22
870 		21
871 		21
