Vertex 	Distance from 0(source node)
0 		0
1 		4
2 		6
3 		6
4 		7
5 		6
6 		6
7 		6
8 		7
9 		4
10 		7
11 		6
12 		7
13 		3
14 		7
15 		5
16 		5
17 		6
18 		4
19 		4
20 		5
21 		5
22 		5
23 		6
24 		7
25 		8
26 		5
27 		5
28 		7
29 		5
30 		6
31 		7
32 		5
33 		6
34 		3
35 		5
36 		4
37 		5
38 		8
39 		5
40 		6
41 		6
42 		5
43 		6
44 		3
45 		5
46 		4
47 		6
48 		6
49 		4
50 		6
51 		5
52 		6
53 		7
54 		6
55 		6
56 		5
57 		7
58 		5
59 		6
60 		4
61 		4
62 		6
63 		5
64 		4
65 		6
66 		7
67 		5
68 		6
69 		8
70 		5
71 		4
72 		4
73 		5
74 		6
75 		4
76 		7
77 		5
78 		6
79 		6
80 		2
81 		4
82 		7
83 		5
84 		5
85 		6
86 		4
87 		4
88 		6
89 		5
90 		6
91 		3
92 		6
93 		5
94 		3
95 		5
96 		3
97 		6
98 		6
99 		3
100 		5
101 		5
102 		3
103 		7
104 		5
105 		7
106 		5
107 		5
108 		7
109 		4
110 		6
111 		4
112 		6
113 		4
114 		5
115 		7
116 		4
117 		6
118 		6
119 		6
120 		7
121 		4
122 		2
123 		7
124 		8
125 		6
126 		6
127 		5
128 		7
129 		5
130 		5
131 		4
132 		3
133 		5
134 		3
135 		6
136 		4
137 		6
138 		7
139 		4
140 		7
141 		7
142 		5
143 		5
144 		4
145 		5
146 		3
147 		7
148 		4
149 		5
150 		6
151 		6
152 		7
153 		5
154 		6
155 		6
156 		4
157 		6
158 		7
159 		4
160 		6
161 		7
162 		3
163 		2
164 		7
165 		8
166 		5
167 		7
168 		6
169 		5
170 		5
171 		7
172 		7
173 		4
174 		5
175 		4
176 		6
177 		5
178 		6
179 		3
180 		4
181 		6
182 		5
183 		6
184 		7
185 		4
186 		5
187 		6
188 		6
189 		7
190 		6
191 		5
192 		7
193 		5
194 		3
195 		5
196 		6
197 		6
198 		6
199 		4
200 		5
201 		7
202 		8
203 		6
204 		7
205 		7
206 		6
207 		6
208 		2
209 		4
210 		1
211 		6
212 		7
213 		6
214 		3
215 		5
216 		5
217 		6
218 		6
219 		7
220 		6
221 		6
222 		6
223 		6
224 		5
225 		6
226 		4
227 		6
228 		6
229 		4
230 		7
231 		6
232 		5
233 		5
234 		3
235 		5
236 		7
237 		8
238 		7
239 		5
240 		4
241 		6
242 		4
243 		5
244 		5
245 		5
246 		6
247 		8
248 		5
249 		7
