Vertex 	Distance from 0(source node)
0 		0
1 		2
2 		5
3 		5
4 		5
5 		5
6 		4
7 		6
8 		4
9 		4
10 		5
11 		7
12 		6
13 		5
14 		5
15 		6
16 		5
17 		5
18 		5
19 		5
20 		5
21 		7
22 		5
23 		4
24 		6
25 		4
26 		6
27 		6
28 		5
29 		5
30 		5
31 		4
32 		5
33 		6
34 		5
35 		5
36 		5
37 		5
38 		6
39 		5
40 		5
41 		5
42 		5
43 		6
44 		5
45 		6
46 		5
47 		6
48 		6
49 		5
50 		5
51 		6
52 		4
53 		4
54 		4
55 		5
56 		5
57 		5
58 		7
59 		6
60 		6
61 		5
62 		6
63 		6
64 		5
65 		3
66 		5
67 		6
68 		4
69 		6
70 		5
71 		4
72 		4
73 		4
74 		5
75 		5
76 		6
77 		5
78 		3
79 		5
80 		5
81 		5
82 		4
83 		3
84 		5
85 		3
86 		5
87 		5
88 		7
89 		4
90 		5
91 		2
92 		4
93 		5
94 		4
95 		6
96 		5
97 		6
98 		4
99 		5
100 		5
101 		5
102 		6
103 		3
104 		6
105 		5
106 		5
107 		5
108 		6
109 		6
110 		1
111 		6
112 		6
113 		6
114 		6
115 		4
116 		5
117 		5
118 		6
119 		5
120 		6
121 		4
122 		5
123 		5
124 		4
125 		6
126 		5
127 		6
128 		6
129 		4
130 		5
131 		4
132 		5
133 		3
134 		5
135 		5
136 		5
137 		5
138 		4
139 		4
140 		3
141 		5
142 		6
143 		5
144 		6
145 		6
146 		4
147 		4
148 		6
149 		6
150 		5
151 		4
152 		5
153 		5
154 		5
155 		5
156 		5
157 		6
158 		5
159 		7
160 		5
161 		5
162 		5
163 		4
164 		6
165 		6
166 		5
167 		5
168 		4
169 		5
170 		4
171 		5
172 		3
173 		5
174 		6
175 		5
176 		7
177 		6
178 		5
179 		5
180 		5
181 		3
182 		5
183 		5
184 		6
185 		5
186 		6
187 		6
188 		3
189 		5
190 		2
191 		5
192 		6
193 		6
194 		6
195 		5
196 		5
197 		5
198 		5
199 		4
200 		6
201 		5
202 		3
203 		7
204 		5
205 		3
206 		4
207 		4
208 		3
209 		6
210 		6
211 		5
212 		4
213 		5
214 		6
215 		4
216 		6
217 		5
218 		5
219 		5
220 		6
221 		2
222 		6
223 		6
224 		7
225 		5
226 		6
227 		3
228 		6
229 		4
230 		4
231 		5
232 		5
233 		2
234 		5
235 		6
236 		6
237 		5
238 		4
239 		5
240 		5
241 		4
242 		6
243 		5
244 		5
245 		3
246 		5
247 		4
248 		4
249 		4
250 		3
251 		5
252 		7
253 		6
254 		4
255 		6
256 		6
257 		6
258 		6
259 		6
260 		6
261 		5
262 		5
263 		5
264 		6
265 		5
266 		5
267 		3
268 		5
269 		6
270 		3
271 		6
272 		4
273 		6
274 		5
275 		5
276 		3
277 		5
278 		5
279 		6
280 		6
281 		5
282 		3
283 		5
284 		5
285 		6
286 		5
287 		4
288 		5
289 		5
290 		4
291 		4
292 		4
293 		4
294 		4
295 		5
296 		6
297 		4
298 		4
299 		6
300 		5
301 		4
302 		4
303 		3
304 		4
305 		5
306 		5
307 		6
308 		5
309 		6
310 		5
311 		5
312 		5
313 		6
314 		5
315 		2
316 		5
317 		5
318 		5
319 		4
320 		4
321 		6
322 		4
323 		5
324 		4
325 		6
326 		6
327 		6
328 		5
329 		4
330 		3
331 		5
332 		5
333 		6
334 		4
335 		5
336 		5
337 		6
338 		5
339 		4
340 		5
341 		5
342 		5
343 		6
344 		5
345 		6
346 		6
347 		4
348 		5
349 		4
350 		4
351 		7
352 		4
353 		5
354 		5
355 		4
356 		4
357 		4
358 		5
359 		6
360 		6
361 		4
362 		6
363 		4
364 		3
365 		5
366 		6
367 		5
368 		5
369 		7
370 		5
371 		5
372 		6
373 		6
374 		6
375 		5
376 		3
377 		5
378 		5
379 		3
380 		5
381 		5
382 		5
383 		6
384 		5
385 		6
386 		6
387 		5
388 		4
389 		5
390 		1
391 		5
392 		5
393 		5
394 		5
395 		4
396 		5
397 		7
398 		5
399 		6
400 		5
401 		6
402 		4
403 		5
404 		5
405 		5
406 		5
407 		5
408 		4
409 		5
410 		4
411 		4
412 		4
413 		5
414 		6
415 		6
416 		4
417 		6
418 		5
419 		5
420 		5
421 		5
422 		4
423 		5
424 		5
425 		5
426 		4
427 		5
428 		7
429 		5
430 		5
431 		6
432 		3
433 		5
434 		4
435 		5
436 		5
437 		5
438 		6
439 		5
440 		5
441 		5
442 		6
443 		4
444 		3
445 		7
446 		2
447 		5
448 		5
449 		6
450 		7
451 		4
452 		5
453 		5
454 		7
455 		5
456 		3
457 		6
458 		3
459 		5
460 		6
461 		3
462 		5
463 		6
464 		6
465 		5
466 		6
467 		6
468 		6
469 		5
470 		5
471 		6
472 		6
473 		4
474 		4
475 		3
476 		5
477 		5
478 		4
479 		6
480 		6
481 		4
482 		6
483 		4
484 		5
485 		5
486 		5
487 		6
488 		6
489 		6
490 		5
491 		4
492 		5
493 		5
494 		3
495 		6
496 		5
497 		5
498 		3
499 		4
500 		5
501 		6
502 		5
503 		6
504 		5
505 		4
506 		5
507 		6
508 		6
509 		5
510 		5
511 		5
512 		5
513 		6
514 		6
515 		5
516 		5
517 		6
518 		5
519 		6
520 		5
521 		4
522 		6
523 		4
524 		6
525 		5
526 		6
527 		5
528 		4
529 		5
530 		4
531 		5
532 		5
533 		5
534 		5
535 		3
536 		5
537 		4
538 		3
539 		2
540 		4
541 		3
542 		5
543 		6
544 		4
545 		5
546 		6
547 		5
548 		5
549 		5
550 		6
551 		5
552 		5
553 		6
554 		6
555 		5
556 		4
557 		6
558 		4
559 		4
560 		4
561 		4
562 		6
563 		6
564 		4
565 		5
566 		4
567 		4
568 		4
569 		6
570 		5
571 		6
572 		6
573 		6
574 		6
575 		6
576 		5
577 		3
578 		5
579 		5
580 		5
581 		4
582 		4
583 		4
584 		6
585 		5
586 		5
587 		6
588 		5
589 		4
590 		4
591 		6
592 		6
593 		4
594 		4
595 		6
596 		5
597 		5
598 		4
599 		3
600 		4
601 		5
602 		5
603 		5
604 		4
605 		5
606 		4
607 		4
608 		4
609 		6
610 		6
611 		5
612 		6
613 		6
614 		4
615 		6
616 		3
617 		5
618 		6
619 		6
620 		5
621 		5
622 		5
623 		1
624 		4
625 		4
626 		6
627 		6
628 		5
629 		5
630 		6
631 		4
632 		4
633 		5
634 		6
635 		5
636 		6
637 		5
638 		4
639 		2
640 		4
641 		5
642 		4
643 		4
644 		7
645 		5
646 		4
647 		6
648 		5
649 		4
650 		4
651 		5
652 		6
653 		6
654 		6
655 		5
656 		6
657 		4
658 		7
659 		4
660 		3
661 		7
662 		4
663 		3
664 		5
665 		6
666 		5
667 		6
668 		5
669 		5
670 		5
671 		6
672 		6
673 		5
674 		4
675 		5
676 		5
677 		6
678 		4
679 		6
680 		5
681 		7
682 		6
683 		5
684 		4
685 		5
686 		6
687 		5
688 		7
689 		4
690 		4
691 		2
692 		5
693 		5
694 		4
695 		6
696 		5
697 		5
698 		5
699 		5
700 		5
701 		5
702 		5
703 		6
704 		4
705 		4
706 		4
707 		6
708 		4
709 		5
710 		5
711 		3
712 		3
713 		6
714 		2
715 		4
716 		5
717 		6
718 		4
719 		5
720 		4
721 		4
722 		5
723 		5
724 		5
725 		3
726 		5
727 		4
728 		5
729 		5
730 		6
731 		6
732 		5
733 		5
734 		4
735 		4
736 		6
737 		6
738 		4
739 		5
740 		5
741 		5
742 		3
743 		4
744 		5
745 		5
746 		5
747 		4
748 		5
749 		4
