Vertex 	Distance from 0(source node)
0 		0
1 		4
2 		4
3 		4
4 		4
5 		3
6 		2
7 		4
8 		3
9 		4
10 		4
11 		3
12 		3
13 		2
14 		4
15 		4
16 		4
17 		3
18 		3
19 		4
20 		2
21 		3
22 		4
23 		3
24 		4
25 		4
26 		4
27 		4
28 		3
29 		3
30 		2
31 		3
32 		3
33 		4
34 		2
35 		4
36 		3
37 		3
38 		4
39 		4
40 		4
41 		3
42 		3
43 		2
44 		3
45 		3
46 		4
47 		3
48 		4
49 		3
50 		5
51 		4
52 		4
53 		3
54 		3
55 		4
56 		4
57 		4
58 		4
59 		4
60 		4
61 		5
62 		4
63 		3
64 		4
65 		3
66 		4
67 		4
68 		4
69 		4
70 		4
71 		5
72 		4
73 		4
74 		4
75 		4
76 		3
77 		3
78 		4
79 		5
80 		4
81 		3
82 		4
83 		4
84 		3
85 		4
86 		4
87 		4
88 		4
89 		4
90 		4
91 		4
92 		4
93 		4
94 		2
95 		4
96 		4
97 		4
98 		4
99 		4
100 		3
101 		4
102 		3
103 		4
104 		4
105 		3
106 		4
107 		5
108 		3
109 		4
110 		4
111 		4
112 		3
113 		3
114 		3
115 		3
116 		4
117 		4
118 		2
119 		4
120 		4
121 		3
122 		4
123 		3
124 		4
125 		3
126 		4
127 		4
128 		2
129 		3
130 		3
131 		3
132 		3
133 		4
134 		3
135 		4
136 		3
137 		4
138 		4
139 		2
140 		3
141 		4
142 		3
143 		4
144 		4
145 		4
146 		4
147 		4
148 		3
149 		3
150 		4
151 		3
152 		2
153 		4
154 		4
155 		4
156 		4
157 		4
158 		4
159 		4
160 		4
161 		2
162 		4
163 		3
164 		4
165 		3
166 		2
167 		4
168 		4
169 		3
170 		4
171 		3
172 		4
173 		3
174 		4
175 		4
176 		4
177 		3
178 		4
179 		4
180 		3
181 		2
182 		4
183 		4
184 		3
185 		4
186 		3
187 		4
188 		4
189 		4
190 		4
191 		4
192 		4
193 		4
194 		4
195 		3
196 		4
197 		3
198 		4
199 		4
200 		4
201 		4
202 		4
203 		5
204 		3
205 		2
206 		3
207 		4
208 		4
209 		4
210 		3
211 		4
212 		3
213 		4
214 		3
215 		4
216 		3
217 		4
218 		4
219 		3
220 		4
221 		3
222 		3
223 		4
224 		4
225 		4
226 		3
227 		4
228 		4
229 		4
230 		4
231 		4
232 		3
233 		4
234 		3
235 		4
236 		4
237 		4
238 		3
239 		2
240 		3
241 		4
242 		3
243 		3
244 		4
245 		4
246 		4
247 		4
248 		4
249 		4
250 		4
251 		4
252 		4
253 		3
254 		4
255 		4
256 		3
257 		4
258 		3
259 		4
260 		4
261 		4
262 		3
263 		4
264 		3
265 		3
266 		4
267 		4
268 		2
269 		3
270 		4
271 		4
272 		3
273 		4
274 		3
275 		3
276 		4
277 		4
278 		4
279 		4
280 		4
281 		2
282 		3
283 		4
284 		3
285 		4
286 		3
287 		3
288 		4
289 		3
290 		4
291 		4
292 		4
293 		2
294 		3
295 		4
296 		3
297 		4
298 		4
299 		4
300 		4
301 		4
302 		3
303 		3
304 		4
305 		4
306 		4
307 		3
308 		3
309 		3
310 		4
311 		4
312 		3
313 		2
314 		3
315 		4
316 		2
317 		4
318 		3
319 		3
320 		4
321 		3
322 		3
323 		3
324 		4
325 		3
326 		4
327 		4
328 		2
329 		4
330 		4
331 		3
332 		3
333 		4
334 		4
335 		3
336 		2
337 		4
338 		3
339 		3
340 		4
341 		3
342 		4
343 		4
344 		2
345 		3
346 		4
347 		3
348 		4
349 		3
350 		4
351 		4
352 		4
353 		3
354 		3
355 		3
356 		3
357 		2
358 		4
359 		4
360 		4
361 		3
362 		3
363 		3
364 		2
365 		4
366 		5
367 		5
368 		3
369 		3
370 		4
371 		4
372 		4
373 		3
374 		4
375 		4
376 		3
377 		4
378 		3
379 		3
380 		3
381 		4
382 		3
383 		3
384 		3
385 		5
386 		4
387 		4
388 		2
389 		4
390 		4
391 		4
392 		5
393 		4
394 		4
395 		4
396 		3
397 		4
398 		4
399 		4
400 		3
401 		3
402 		4
403 		3
404 		4
405 		3
406 		3
407 		2
408 		3
409 		4
410 		3
411 		2
412 		4
413 		3
414 		4
415 		4
416 		3
417 		2
418 		4
419 		4
420 		3
421 		4
422 		4
423 		4
424 		4
425 		4
426 		4
427 		4
428 		3
429 		3
430 		3
431 		2
432 		3
433 		2
434 		4
435 		4
436 		3
437 		4
438 		4
439 		4
440 		4
441 		4
442 		3
443 		4
444 		4
445 		4
446 		3
447 		3
448 		4
449 		3
450 		3
451 		4
452 		4
453 		3
454 		4
455 		4
456 		3
457 		3
458 		3
459 		4
460 		3
461 		4
462 		3
463 		3
464 		4
465 		4
466 		4
467 		4
468 		4
469 		3
470 		3
471 		4
472 		2
473 		2
474 		4
475 		3
476 		4
477 		4
478 		3
479 		4
480 		4
481 		3
482 		3
